"Store Pickup","Store Pickup"
"Pickup at store","Pickup at store"
"Select shipping method that will be used as ""Pickup at Store"" method","Select shipping method that will be used as ""Pickup at Store"" method"
"Use this field to enter shipping code, if you are not able to find it in previous selectbox.","Use this field to enter shipping code, if you are not able to find it in previous selectbox."
"Store Address","Store Address"
"Use this field to enter region, if you are not able to find it in previous selectbox.","Use this field to enter region, if you are not able to find it in previous selectbox."
